GEOID,expected_in_aoi,file_present,path,readable,crs,pixel_size_x,pixel_size_y,width,height,sampled_valid_fraction,unmasked_nonfinite_count,sampled_min,sampled_max,qa_status,qa_note
12065,1,1,12065_ndvi.tif,1,EPSG:5070,90.0,90.0,474,750,0.5552517580872012,0,-0.04703178256750107,0.9827640056610107,pass,
12069,1,1,12069_ndvi.tif,1,EPSG:5070,90.0,90.0,658,1185,0.47692919343875445,0,-0.7840648889541626,0.9863563179969788,pass,
12071,1,1,12071_ndvi.tif,1,EPSG:5070,90.0,90.0,850,591,0.5687867024982581,0,-0.5040033459663391,0.9809534549713135,pass,
12073,1,1,12073_ndvi.tif,1,EPSG:5070,90.0,90.0,752,548,0.5483115584718123,0,-0.20860430598258972,0.9834537506103516,pass,
12075,1,1,12075_ndvi.tif,1,EPSG:5070,90.0,90.0,831,722,0.61945191689084,0,-0.5409849286079407,0.9928531646728516,pass,
12081,1,1,12081_ndvi.tif,1,EPSG:5070,90.0,90.0,813,563,0.5589564776642438,0,-0.6074398159980774,0.9931584596633911,pass,
12083,1,1,12083_ndvi.tif,1,EPSG:5070,90.0,90.0,990,758,0.7113469790250793,0,-0.26836952567100525,0.9962038993835449,pass,
12085,1,1,12085_ndvi.tif,1,EPSG:5070,90.0,90.0,881,491,0.5029093489854845,0,-0.5443451404571533,0.9899195432662964,pass,
12086,1,1,12086_ndvi.tif,1,EPSG:5070,90.0,90.0,872,1129,0.6520302939192758,0,-0.999624490737915,0.9979024529457092,pass,
12089,1,1,12089_ndvi.tif,1,EPSG:5070,90.0,90.0,678,704,0.4527080819254492,0,-0.27066880464553833,0.9851584434509277,pass,
12091,1,1,12091_ndvi.tif,1,EPSG:5070,90.0,90.0,487,790,0.8298365087204013,0,-0.9007708430290222,0.97704017162323,pass,
12095,1,1,12095_ndvi.tif,1,EPSG:5070,90.0,90.0,937,574,0.5983734879275916,0,-0.685481607913971,0.9907991886138916,pass,
12097,1,1,12097_ndvi.tif,1,EPSG:5070,90.0,90.0,984,903,0.5443823208996209,0,-0.4713476598262787,0.9848778247833252,pass,
12099,1,1,12099_ndvi.tif,1,EPSG:5070,90.0,90.0,1021,914,0.7639772651774444,0,-0.5289051532745361,0.9908669590950012,pass,
12101,1,1,12101_ndvi.tif,1,EPSG:5070,90.0,90.0,856,497,0.5796649053197691,0,-0.4408583641052246,0.9962208867073059,pass,
12103,1,1,12103_ndvi.tif,1,EPSG:5070,90.0,90.0,344,696,0.4419690590751136,0,-0.6038035750389099,0.9875187277793884,pass,
12105,1,1,12105_ndvi.tif,1,EPSG:5070,90.0,90.0,1171,916,0.6015647433052779,0,-0.5713399648666382,0.9858112335205078,pass,
12109,1,1,12109_ndvi.tif,1,EPSG:5070,90.0,90.0,581,792,0.471092160851197,0,-0.8924465179443359,0.9880698919296265,pass,
12111,1,1,12111_ndvi.tif,1,EPSG:5070,90.0,90.0,583,490,0.6881751671509084,0,-0.4248899817466736,0.9781883955001831,pass,
12113,1,1,12113_ndvi.tif,1,EPSG:5070,90.0,90.0,599,853,0.7220983781096669,0,-0.9286757111549377,0.9842775464057922,pass,
12115,1,1,12115_ndvi.tif,1,EPSG:5070,90.0,90.0,705,554,0.4989630539980029,0,-0.32173073291778564,0.9848347306251526,pass,
12117,1,1,12117_ndvi.tif,1,EPSG:5070,90.0,90.0,528,321,0.6576925800056641,0,-0.38437163829803467,0.9802623391151428,pass,
12119,1,1,12119_ndvi.tif,1,EPSG:5070,90.0,90.0,498,804,0.46680503106955185,0,-0.14417922496795654,0.9874624013900757,pass,
12127,1,1,12127_ndvi.tif,1,EPSG:5070,90.0,90.0,1117,971,0.3750787151475143,0,-0.9942996501922607,0.9986428022384644,pass,
12129,1,1,12129_ndvi.tif,1,EPSG:5070,90.0,90.0,729,435,0.6405941062390615,0,-0.24378448724746704,0.9892550110816956,pass,
12131,1,1,12131_ndvi.tif,1,EPSG:5070,90.0,90.0,625,885,0.6666937853107344,0,-0.7636114358901978,0.9819934368133545,pass,
13013,1,1,13013_ndvi.tif,1,EPSG:5070,90.0,90.0,343,280,0.550052061640983,0,0.02833370491862297,0.9654112458229065,pass,
13015,1,1,13015_ndvi.tif,1,EPSG:5070,90.0,90.0,410,454,0.8115074674975825,0,-0.26650524139404297,0.9814823865890503,pass,
13021,1,1,13021_ndvi.tif,1,EPSG:5070,90.0,90.0,417,346,0.5711315340790951,0,-0.22481176257133484,0.9775087237358093,pass,
13025,1,1,13025_ndvi.tif,1,EPSG:5070,90.0,90.0,563,484,0.5296999544940769,0,-0.12707635760307312,0.992123544216156,pass,
13027,1,1,13027_ndvi.tif,1,EPSG:5070,90.0,90.0,515,539,0.5779635066736315,0,-0.030331745743751526,0.997395932674408,pass,
13029,1,1,13029_ndvi.tif,1,EPSG:5070,90.0,90.0,729,593,0.33889895141534637,0,-0.329159677028656,0.9713221788406372,pass,
13033,1,1,13033_ndvi.tif,1,EPSG:5070,90.0,90.0,781,612,0.5623132735808792,0,0.02040630578994751,0.9915853142738342,pass,
13035,1,1,13035_ndvi.tif,1,EPSG:5070,90.0,90.0,332,324,0.566023352669939,0,-0.3794737458229065,0.9685541987419128,pass,
13045,1,1,13045_ndvi.tif,1,EPSG:5070,90.0,90.0,553,504,0.5819483911708143,0,-0.19526004791259766,0.9879032969474792,pass,
13047,1,1,13047_ndvi.tif,1,EPSG:5070,90.0,90.0,288,293,0.6227128365566932,0,-0.3079920709133148,0.9325467944145203,pass,
13051,1,1,13051_ndvi.tif,1,EPSG:5070,90.0,90.0,587,623,0.4359216955928477,0,-0.45645761489868164,0.9225056767463684,pass,
13053,1,1,13053_ndvi.tif,1,EPSG:5070,90.0,90.0,378,410,0.5236998322364176,0,-0.20982255041599274,0.9629973769187927,pass,
13057,1,1,13057_ndvi.tif,1,EPSG:5070,90.0,90.0,433,424,0.7613675977166761,0,-0.15905989706516266,0.9901230335235596,pass,
13059,1,1,13059_ndvi.tif,1,EPSG:5070,90.0,90.0,311,227,0.5574741136308908,0,-0.09975685179233551,0.9684950709342957,pass,
13063,1,1,13063_ndvi.tif,1,EPSG:5070,90.0,90.0,226,378,0.5487428009551903,0,-0.046055782586336136,0.9496498107910156,pass,
13067,1,1,13067_ndvi.tif,1,EPSG:5070,90.0,90.0,383,427,0.6783864596645489,0,-0.4084818363189697,0.9768273830413818,pass,
13073,1,1,13073_ndvi.tif,1,EPSG:5070,90.0,90.0,437,424,0.5361275419886878,0,-0.10789559781551361,0.9537696242332458,pass,
13077,1,1,13077_ndvi.tif,1,EPSG:5070,90.0,90.0,555,425,0.6092252252252253,0,-0.1535307914018631,0.9757798910140991,pass,
