GEOID,adult_population,baseline_ndvi,feasible_increment,median_income,acs_population,households,low_income_households,high_income_households,occupied_households,renter_households,race_total,nonhisp_white,svi,ice_income,renter_share,minority_share,cases,rate,health_efficiency,z_health_efficiency,z_svi,z_baseline_ndvi,z_renter_share,health_score,equity_score,balanced_score,safeguard_flag,local_moran_i,lisa_p,priority_cluster,priority_decile
06075030800,4672.893069028854,0.33971498099151,31.059884417056875,190625.0,5769.0,1998.0,115.0,1102.0,1998.0,553.0,5769.0,3272.0,0.2362,0.493993993993994,0.27677677677677676,0.4328306465591957,25.08753204345703,0.005368736599117355,0.8077149195597115,0.0034324635429578273,0.19098987678072463,0.8639313049586886,0.09369779065081124,0.0034324635429578273,0.08897299290092923,0.04620272822194353,0,1.1039408196478193,0.02,low-low priority,2.0
06075035202,3048.9185836315155,0.1940520476953811,0.30000000000000004,118590.0,4559.0,1709.0,170.0,642.0,1709.0,1099.0,4559.0,1693.0,0.691,0.2761849034523113,0.6430661205383265,0.62864663303356,18.920522689819336,0.006205650354652442,63.068408966064446,0.5535860588502153,0.711808895607164,0.35114156342648584,0.5636000828705505,0.5535860588502153,0.6232549083736421,0.5884204836119287,0,0.04247654437301622,0.934,not significant,10.0
06075040200,4429.897394418716,0.2847339288721717,3.393133962154387,175978.0,4903.0,2326.0,176.0,1259.0,2326.0,1497.0,4903.0,2262.0,0.4407,0.4656061908856406,0.6435941530524506,0.538649806241077,26.42195701599121,0.005964462528924613,7.786888849862927,0.06510247363251849,0.42517520956438093,0.6703767824218744,0.564277480924792,0.06510247363251849,0.23080604280051137,0.14795425821651492,0,0.04675556861239173,0.818,not significant,4.0
06075045100,3861.031051635742,0.24085006716496804,0.49047682285308847,195893.0,4664.0,1919.0,44.0,1124.0,1919.0,1405.0,4664.0,2602.0,0.3218,0.5627931214174049,0.7321521625846795,0.4421097770154374,22.11438751220703,0.005727586029860645,45.087528058040185,0.3947017670857788,0.2890156199899226,0.5158886529227691,0.6778860594498115,0.3947017670857788,0.3711230526009469,0.38291240984336283,0,-0.019475664184287023,0.84,not significant,7.0
06075022702,2052.4402413368225,0.23310149434421742,0.0,250001.0,2017.0,1001.0,74.0,597.0,1001.0,619.0,2017.0,1024.0,0.2312,0.5224775224775224,0.6183816183816184,0.4923153197818543,12.920960426330566,0.006295413706132908,,,0.18526407402317802,0.4886106861532934,0.5319330296425668,,,,0,,,not ranked (missing SVI or zero feasible capacity),
06075026003,3713.985248565674,0.22332060086196875,0.15000000000000002,99044.0,4873.0,1393.0,71.0,444.0,1393.0,427.0,4873.0,610.0,0.5348,0.26776740847092606,0.3065326633165829,0.8748204391545249,18.051654815673828,0.004860454096484445,120.3443654378255,1.0,0.5329348174614081,0.4541781663129862,0.13187078020190163,1.0,0.7684004611645449,0.8842002305822725,0,2.370300759136771,0.006,high-high priority,10.0
06075026403,3399.746166706085,0.1855157283838929,0.9948871016502382,73750.0,3453.0,1109.0,249.0,344.0,1109.0,335.0,3453.0,175.0,0.7494,0.08566275924256087,0.30207394048692515,0.9493194323776426,14.630569458007812,0.004303429944648763,14.705758506407218,0.12623961762527522,0.7786862718153084,0.3210904249911821,0.1261508101462273,0.12623961762527522,0.4374964401993182,0.28186802891229673,0,0.1158566821439333,0.604,not significant,8.0
06075011200,2852.2869567871094,0.157221479056289,0.32887233495712287,118347.0,2678.0,1633.0,333.0,758.0,1633.0,1271.0,2678.0,1348.0,0.4121,0.26025719534598896,0.7783221065523577,0.4966392830470501,18.52631378173828,0.006495248922151509,56.332843515565614,0.49406864411899754,0.3924236177912144,0.22148374763522571,0.7371161814055087,0.49406864411899754,0.50116002614114,0.49761433513006875,0,1.028378170985423,0.006,high-high priority,9.0
06075011800,1650.9530715942383,0.08485689861117862,0.0,43833.0,1635.0,716.0,274.0,31.0,716.0,712.0,1635.0,122.0,0.9298,-0.3393854748603352,0.994413407821229,0.9253822629969419,6.187310218811035,0.0037477202261335485,,,0.98527323530759,0.0,1.0,,,,1,,,not ranked (missing SVI or zero feasible capacity),
06075015900,3731.111310005188,0.26801043861743173,2.429508936405181,83162.0,4876.0,2159.0,551.0,813.0,2159.0,1650.0,4876.0,1650.0,0.8001,0.12135247799907364,0.7642427049559981,0.6616078753076292,21.043630599975586,0.005640043636207231,8.661680673260975,0.07283238853562495,0.8367459117768311,0.6115036425558085,0.7190541132730585,0.07283238853562495,0.38755171700633206,0.2301920527709785,0,0.3368196119688836,0.026,high-high priority,7.0
