tractfips,depression_crudeprev
12061050702,18.4
12061050703,17.9
12061050704,17.4
12061050705,14.2
12061050802,18.4
12061050804,17.4
12061050805,17.0
12061050806,17.9
12061050807,18.0
12061050808,17.6
12061050902,15.9
12061050903,21.3
12061050904,19.6
12063210100,18.8
12063210200,19.2
12063210300,19.6
12063210400,21.9
12063210500,20.8
12063210600,21.6
12063210700,19.5
12063210800,19.9
12063210900,20.2
12063211000,22.8
12063211100,23.0
12065250101,19.1
12065250102,19.1
12065250200,19.2
12067960100,18.8
12067960200,21.5
12069030102,22.3
12069030104,19.2
12069030105,20.8
12069030106,23.9
12069030107,22.2
12069030108,20.2
12069030203,18.0
12069030204,22.2
12069030206,21.5
12069030207,19.6
12069030208,19.8
12069030209,22.1
12069030302,18.2
12069030305,19.2
12069030306,19.6
12069030307,19.8
12069030308,19.6
12069030405,22.2
12069030406,19.7
12069030407,23.4
12069030408,16.1
12069030409,15.8
12069030410,19.4
12069030411,19.9
12069030502,21.8
12069030503,22.0
12069030504,19.0
12069030601,19.2
12069030602,22.0
12069030701,16.4
12069030702,21.3
12069030803,18.9
12069030804,20.6
12069030805,19.8
12069030806,19.2
12069030807,19.0
12069030902,20.2
12069030912,21.0
12069030913,14.7
12069030914,20.9
12069031000,19.8
