GEOID,name,acs_year,population_total,population_adult,adult_fraction
19011,Benton,2023,25698,19757,0.76881469
19013,Black Hawk,2023,130693,102014,0.78056208
19015,Boone,2023,26669,21088,0.79073081
19017,Bremer,2023,25118,19441,0.77398678
19049,Dallas,2023,104136,76197,0.73170661
19061,Dubuque,2023,98948,76517,0.77330517
19075,Grundy,2023,12352,9435,0.76384391
19077,Guthrie,2023,10646,8367,0.78592899
19085,Harrison,2023,14645,11268,0.76940935
19099,Jasper,2023,37864,29482,0.77862878
19103,Johnson,2023,154881,124605,0.80452089
19105,Jones,2023,20799,16455,0.79114380
19113,Linn,2023,229463,177230,0.77236853
19121,Madison,2023,16760,12585,0.75089499
19129,Mills,2023,14563,11201,0.76914097
19153,Polk,2023,497441,375057,0.75397283
19155,Pottawattamie,2023,93407,71762,0.76827219
19163,Scott,2023,174302,133516,0.76600383
19169,Story,2023,98592,82392,0.83568647
19181,Warren,2023,53484,40312,0.75372074
19183,Washington,2023,22539,16986,0.75362705
19193,Woodbury,2023,105760,78340,0.74073374
20015,Butler,2023,67916,50957,0.75029448
20043,Doniphan,2023,7492,5967,0.79644955
20045,Douglas,2023,119547,98247,0.82182740
20061,Geary,2023,35895,24542,0.68371640
20079,Harvey,2023,33823,25749,0.76128670
20085,Jackson,2023,13277,10002,0.75333283
20087,Jefferson,2023,18391,14300,0.77755424
20091,Johnson,2023,614764,468368,0.76186634
20103,Leavenworth,2023,82493,62924,0.76277987
20107,Linn,2023,9723,7580,0.77959478
20121,Miami,2023,34625,26343,0.76080866
20139,Osage,2023,15780,12099,0.76673004
20149,Pottawatomie,2023,25808,18309,0.70943118
20161,Riley,2023,71710,60068,0.83765165
20173,Sedgwick,2023,524810,392631,0.74813933
20177,Shawnee,2023,178315,136774,0.76703586
20191,Sumner,2023,22386,16970,0.75806308
20197,Wabaunsee,2023,6961,5365,0.77072260
20209,Wyandotte,2023,167277,121089,0.72388314
21003,Allen,2023,21029,16184,0.76960388
21015,Boone,2023,137676,102139,0.74187949
21017,Bourbon,2023,20174,15569,0.77173590
21019,Boyd,2023,48043,37818,0.78716983
21023,Bracken,2023,8427,6438,0.76397294
21029,Bullitt,2023,83209,65375,0.78567222
21031,Butler,2023,12373,9498,0.76763921
21037,Campbell,2023,93193,73837,0.79230200
21043,Carter,2023,26515,20580,0.77616444
21047,Christian,2023,72599,52254,0.71976198
21049,Clark,2023,37004,28657,0.77442979
21059,Daviess,2023,103195,77835,0.75425166
21061,Edmonson,2023,12243,9930,0.81107572
21067,Fayette,2023,321122,253380,0.78904591
21077,Gallatin,2023,8749,6790,0.77608870
21081,Grant,2023,25238,18494,0.73278390
21089,Greenup,2023,35639,27993,0.78545975
21091,Hancock,2023,9032,6838,0.75708592
21093,Hardin,2023,111452,83809,0.75197394
21101,Henderson,2023,44493,34366,0.77239116
21103,Henry,2023,15774,12062,0.76467605
21111,Jefferson,2023,777392,604298,0.77734013
21113,Jessamine,2023,53792,40967,0.76158165
21117,Kenton,2023,169817,129828,0.76451710
21123,Larue,2023,15028,11624,0.77348949
21149,McLean,2023,9127,7016,0.76870823
21163,Meade,2023,30032,23369,0.77813665
21185,Oldham,2023,68600,51362,0.74871720
21191,Pendleton,2023,14683,11286,0.76864401
21209,Scott,2023,58269,43861,0.75273301
21211,Shelby,2023,48599,37717,0.77608593
21215,Spencer,2023,19875,15376,0.77363522
21221,Trigg,2023,14211,11117,0.78228133
21227,Warren,2023,137549,105274,0.76535635
21239,Woodford,2023,27017,21098,0.78091572
22001,Acadia,2023,57218,42355,0.74023909
22005,Ascension,2023,128593,94364,0.73381910
22007,Assumption,2023,20720,16412,0.79208494
22015,Bossier,2023,129134,97012,0.75125064
22017,Caddo,2023,232973,177857,0.76342323
22019,Calcasieu,2023,208668,156293,0.74900320
22023,Cameron,2023,5222,3967,0.75967062
22031,De Soto,2023,26897,20453,0.76041938
22033,East Baton Rouge,2023,452821,349987,0.77290364
22037,East Feliciana,2023,19378,16030,0.82722675
22043,Grant,2023,22123,17467,0.78954030
22045,Iberia,2023,69194,51468,0.74382172
22047,Iberville,2023,29950,23679,0.79061770
22051,Jefferson,2023,432484,335494,0.77573737
22055,Lafayette,2023,245075,185780,0.75805366
22057,Lafourche,2023,96670,74447,0.77011482
22063,Livingston,2023,145583,107980,0.74170748
22067,Morehouse,2023,24967,19149,0.76697240
22071,Orleans,2023,376035,301614,0.80209023
22073,Ouachita,2023,158916,119617,0.75270583
22075,Plaquemines,2023,23070,17306,0.75015171
22077,Pointe Coupee,2023,20438,16039,0.78476368
22079,Rapides,2023,128470,96239,0.74911653
22087,St. Bernard,2023,44172,32576,0.73748076
22089,St. Charles,2023,51863,39239,0.75658948
22091,St. Helena,2023,10849,8642,0.79657111
22093,St. James,2023,19797,15366,0.77617821
22095,St. John the Baptist,2023,41342,31309,0.75731701
22099,St. Martin,2023,51559,39132,0.75897515
22103,St. Tammany,2023,269331,205274,0.76216254
22105,Tangipahoa,2023,135218,102002,0.75435223
22109,Terrebonne,2023,107362,80194,0.74694957
22111,Union,2023,20914,16401,0.78421153
22113,Vermilion,2023,57031,42586,0.74671670
22121,West Baton Rouge,2023,27666,21128,0.76368105
22125,West Feliciana,2023,15381,12870,0.83674664
23001,Androscoggin,2023,112323,88647,0.78921503
23005,Cumberland,2023,305940,250163,0.81768647
23019,Penobscot,2023,153571,126184,0.82166555
23023,Sagadahoc,2023,37093,30435,0.82050522
23031,York,2023,214731,175891,0.81912253
24001,Allegany,2023,67762,55706,0.82208317
24003,Anne Arundel,2023,590936,457051,0.77343570
24005,Baltimore,2023,849586,663161,0.78056960
24009,Calvert,2023,93791,72005,0.76771758
24013,Carroll,2023,174318,135952,0.77990798
24015,Cecil,2023,104366,80990,0.77601901
24017,Charles,2023,168710,128233,0.76007943
24021,Frederick,2023,280341,214766,0.76608844
24025,Harford,2023,262509,203719,0.77604577
24027,Howard,2023,333916,253643,0.75960122
24031,Montgomery,2023,1057586,814883,0.77051228
24033,Prince George's,2023,955584,743108,0.77764801
24035,Queen Anne's,2023,50951,40103,0.78708956
24037,St. Mary's,2023,114372,86873,0.75956528
24039,Somerset,2023,24685,20374,0.82535953
24043,Washington,2023,155033,121129,0.78131108
24045,Wicomico,2023,104117,80682,0.77491668
24047,Worcester,2023,53279,44073,0.82721147
24510,Baltimore,2023,577193,456699,0.79124140
25001,Barnstable,2023,230073,196898,0.85580664
25003,Berkshire,2023,128047,107023,0.83581029
25005,Bristol,2023,578436,458549,0.79273939
25009,Essex,2023,807258,637838,0.79012905
25011,Franklin,2023,70922,58943,0.83109613
25013,Hampden,2023,462853,365303,0.78924194
25015,Hampshire,2023,156595,133246,0.85089562
25017,Middlesex,2023,1622896,1304428,0.80376561
25021,Norfolk,2023,724540,574797,0.79332680
25023,Plymouth,2023,531889,420468,0.79051832
25025,Suffolk,2023,782172,655678,0.83827854
25027,Worcester,2023,861664,682295,0.79183417
26017,Bay,2023,103235,82796,0.80201482
26021,Berrien,2023,153411,120292,0.78411587
26025,Calhoun,2023,133846,103027,0.76974284
26027,Cass,2023,51606,41056,0.79556641
26037,Clinton,2023,79419,62172,0.78283534
26045,Eaton,2023,109000,86476,0.79335780
26049,Genesee,2023,404087,313660,0.77621898
26065,Ingham,2023,282015,226359,0.80264880
26067,Ionia,2023,66706,52534,0.78754535
26075,Jackson,2023,160187,126373,0.78890921
26077,Kalamazoo,2023,261437,205174,0.78479328
26081,Kent,2023,658844,502551,0.76277692
26087,Lapeer,2023,88703,70832,0.79852993
26093,Livingston,2023,195143,154983,0.79420220
26099,Macomb,2023,877624,694851,0.79174111
26111,Midland,2023,83641,65936,0.78832152
26115,Monroe,2023,155001,122323,0.78917555
26117,Montcalm,2023,67174,53007,0.78909995
26121,Muskegon,2023,175378,135566,0.77299319
26125,Oakland,2023,1272294,1011540,0.79505209
26139,Ottawa,2023,298614,228953,0.76671891
26145,Saginaw,2023,189210,148509,0.78488980
26147,St. Clair,2023,160089,127249,0.79486411
26155,Shiawassee,2023,68061,53864,0.79140771
26161,Washtenaw,2023,368394,300686,0.81620765
26163,Wayne,2023,1773767,1352595,0.76255506
27003,Anoka,2023,367095,279615,0.76169656
27009,Benton,2023,41458,30888,0.74504318
27013,Blue Earth,2023,69386,55557,0.80069466
27017,Carlton,2023,36457,28441,0.78012453
27019,Carver,2023,108622,80712,0.74305389
27025,Chisago,2023,57434,44467,0.77422781
27027,Clay,2023,65628,49345,0.75188944
27037,Dakota,2023,442204,335288,0.75822019
27039,Dodge,2023,20962,15625,0.74539643
27045,Fillmore,2023,21346,16112,0.75480184
27053,Hennepin,2023,1268903,992536,0.78220006
27055,Houston,2023,18768,14709,0.78372762
27059,Isanti,2023,41934,32185,0.76751562
27075,Lake,2023,10911,8830,0.80927504
27079,Le Sueur,2023,28936,22211,0.76759054
27095,Mille Lacs,2023,26912,20616,0.76605232
27103,Nicollet,2023,34350,26916,0.78358079
27109,Olmsted,2023,163425,123866,0.75793789
27119,Polk,2023,30905,23286,0.75347031
27123,Ramsey,2023,544438,417993,0.76775133
27137,St. Louis,2023,200056,162534,0.81244252
27139,Scott,2023,152957,112635,0.73638343
27141,Sherburne,2023,99178,73388,0.73996249
27145,Stearns,2023,159358,121789,0.76424779
27157,Wabasha,2023,21519,16773,0.77945072
27163,Washington,2023,272298,206480,0.75828688
27171,Wright,2023,145270,105360,0.72527019
28029,Copiah,2023,27994,21675,0.77427306
28031,Covington,2023,18226,13838,0.75924503
28033,DeSoto,2023,188598,141087,0.74808322
28035,Forrest,2023,78027,60243,0.77207890
28045,Hancock,2023,46057,37048,0.80439455
28047,Harrison,2023,209443,159530,0.76168695
28049,Hinds,2023,222494,169818,0.76324755
28051,Holmes,2023,16491,12400,0.75192529
28059,Jackson,2023,144437,111178,0.76973352
28073,Lamar,2023,65081,49089,0.75427544
28089,Madison,2023,110303,83284,0.75504746
28093,Marshall,2023,33899,26842,0.79182277
28111,Perry,2023,11459,8930,0.77930011
28121,Rankin,2023,158218,122477,0.77410282
28127,Simpson,2023,25817,19803,0.76705272
28131,Stone,2023,18515,14531,0.78482312
28137,Tate,2023,28135,21750,0.77305847
28143,Tunica,2023,9586,6876,0.71729606
28163,Yazoo,2023,26837,21016,0.78309796
29003,Andrew,2023,18086,14000,0.77407940
29013,Bates,2023,16121,12355,0.76639166
29017,Bollinger,2023,10591,8270,0.78085167
29019,Boone,2023,185874,148102,0.79678707
29021,Buchanan,2023,83855,65091,0.77623278
29025,Caldwell,2023,8890,6784,0.76310461
29027,Callaway,2023,44541,35260,0.79163018
29031,Cape Girardeau,2023,82180,64547,0.78543441
29037,Cass,2023,109393,83456,0.76290073
29043,Christian,2023,91229,68170,0.74724046
29047,Clay,2023,255566,194751,0.76203799
29049,Clinton,2023,21259,16359,0.76950938
29051,Cole,2023,76924,59825,0.77771567
29053,Cooper,2023,16835,13041,0.77463617
29059,Dallas,2023,17344,13169,0.75928275
29063,DeKalb,2023,11176,9071,0.81164996
29071,Franklin,2023,105316,81548,0.77431729
29077,Greene,2023,301121,238041,0.79051610
29089,Howard,2023,10141,7903,0.77931170
29095,Jackson,2023,717021,548629,0.76515053
29097,Jasper,2023,123532,92879,0.75186187
29099,Jefferson,2023,228227,176231,0.77217419
29107,Lafayette,2023,32974,25371,0.76942439
29113,Lincoln,2023,61636,46064,0.74735544
29135,Moniteau,2023,15303,11473,0.74972228
29145,Newton,2023,59490,45272,0.76100185
29151,Osage,2023,13379,10286,0.76881680
29165,Platte,2023,108751,83317,0.76612629
29167,Polk,2023,32109,24568,0.76514373
29177,Ray,2023,23149,17869,0.77191239
29183,St. Charles,2023,409830,316288,0.77175414
29189,St. Louis,2023,996618,776147,0.77878084
29219,Warren,2023,36467,27907,0.76526723
29225,Webster,2023,39868,28923,0.72546905
29510,St. Louis,2023,293109,238700,0.81437281
30009,Carbon,2023,10877,8985,0.82605498
30013,Cascade,2023,84601,65601,0.77541637
30063,Missoula,2023,119639,97567,0.81551166
30095,Stillwater,2023,9052,7144,0.78921785
30111,Yellowstone,2023,167340,128498,0.76788574
31025,Cass,2023,26963,20600,0.76400994
31043,Dakota,2023,21331,15071,0.70653040
